targets: 20815,20820,20821,20822,20823,20824,20825,20826,20827,20828,20829,20830,20831,20832,20833,20834,20835,20836,20837,20838,20839,20840,20841,20842,20843,20844,20845,20846,20847,20848,20849,20850
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          429980        873
                    futex          365915        956
                fdatasync          129413        222
                    fsync           27903        130
                    write           15944       7256
                    pread            5226        650
                   openat            2753        506
                   munmap              62         62
                    lstat               7       3289
                 readlink               2        253
------------
