targets: 24834,24839,24840,24841,24842,24843,24844,24845,24846,24847,24848,24849,24850,24851,24852,24853,24854,24855,24856,24857
                  SYSCALL      TIME IN MS      COUNT
                    futex          613132        873
          sync_file_range          456651        862
                fdatasync           49810        225
                    write           16331       7172
                    fsync           13366        126
                    pread            1706        630
                   openat              60        491
                   munmap              28         21
                    lstat               8       3198
                 readlink               1        246
------------
