targets: 25056,25061,25062,25063,25064,25065,25066,25067,25068,25069,25070,25071,25072,25073,25074,25075,25076,25077,25078,25079,25080,25081,25082,25083
                  SYSCALL      TIME IN MS      COUNT
                    futex          873576        878
          sync_file_range          381146        912
                fdatasync           64177        232
                    write           15662       7566
                    fsync           13090        134
                    pread            2315        665
                   munmap              52         67
                   openat              48        523
                      brk              11          5
                    lstat               7       3393
------------
