targets: 25779,25784,25785,25786,25787,25788,25789,25790,25791,25792,25793,25794,25795,25796,25797,25798,25799,25800,25801,25802,25803,25804,25805,25806,25807,25808,25809,25810,25811,25812,25813,25814,25815,25816,25817,25818
                  SYSCALL      TIME IN MS      COUNT
                    futex          714275        934
          sync_file_range          414174        835
                fdatasync           76625        221
                    write           18642       6957
                    fsync            5558        123
                    pread            1802        615
                   openat              28        478
                   munmap              20         13
                    lstat               6       3107
                    fstat               1        601
------------
