targets: 26032,26037,26038,26039,26040,26041,26042,26043,26044,26045,26046,26047,26048,26049,26050,26051,26052,26053,26054,26055,26056,26057,26058,26059,26060,26061,26062,26063,26064,26065,26066,26067,26068,26069,26070,26071,26072,26073,26074,26075
                  SYSCALL      TIME IN MS      COUNT
                    futex          835107        897
          sync_file_range          350992        851
                fdatasync           88162        210
                    write           15704       7071
                    fsync            9805        126
                    pread            3732        630
                   openat             118        490
                   munmap              12         11
                    lstat               6       3185
                 readlink               1        245
------------
