targets: 26567,26572,26573,26574,26575,26576,26577,26578,26579,26580,26581,26582,26583,26584,26585,26586,26587,26588,26589,26590,26591,26592,26593,26594,26595,26596,26597,26598,26599,26600,26601,26602,26603,26604,26605,26606,26607,26608,26609,26610,26611,26612,26613,26614,26615,26616,26617,26618
                  SYSCALL      TIME IN MS      COUNT
                    futex          752285        909
          sync_file_range          416046        846
                fdatasync           63919        215
                    write           20719       7018
                    fsync           16047        123
                   openat             297        484
                    pread             170        615
                    lstat               6       3146
                   munmap               3          3
                 readlink               1        242
------------
