targets: 30007,30012,30013,30014,30015,30016,30017,30018,30019,30020,30021,30022,30023,30024,30025,30026,30027,30028,30029,30030,30031,30032,30033,30034,30035,30036,30037,30038
                  SYSCALL      TIME IN MS      COUNT
                    futex          596451        879
          sync_file_range          376744        827
                fdatasync          101608        210
                    fsync           19460        121
                    write           17227       6860
                    pread            6506        605
                   openat             306        476
                    lstat              18       3094
                   munmap              13         13
                 readlink               1        238
------------
