targets: 20345,20350,20351,20352,20353,20354,20355,20356,20357,20358,20359,20360,20361,20362,20363,20364,20365,20366,20367,20368,20369,20370,20371,20372
                  SYSCALL      TIME IN MS      COUNT
                    futex          722734        883
          sync_file_range          450067        846
                fdatasync          101106        219
                    write           18864       7007
                    fsync            5350        124
                    pread            2205        620
                      brk              55         12
                   openat              17        486
                    lstat               6       3159
                 readlink               1        243
------------
