targets: 20578,20583,20584,20585,20586,20587,20588,20589,20590,20591,20592,20593,20594,20595,20596,20597,20598,20599,20600,20601,20602,20603,20604,20605,20606,20607,20608,20609
                  SYSCALL      TIME IN MS      COUNT
                    futex          561584        910
          sync_file_range          401132        828
                fdatasync           80840        212
                    write           18621       6860
                    pread            2443        610
                    fsync            2243        122
                   openat            1641        476
                   munmap              25         18
                    lstat               6       3094
                 readlink               1        238
------------
