targets: 21064,21069,21070,21071,21072,21073,21074,21075,21076,21077,21078,21079,21080,21081,21082,21083,21084,21085,21086,21087,21088,21089,21090,21091,21092,21093,21094,21095,21096,21097,21098,21099,21100,21101,21102,21103
                  SYSCALL      TIME IN MS      COUNT
                    futex         1005454        981
          sync_file_range          556885        889
                fdatasync          150968        221
                    fsync           35077        132
                    write           28092       7388
                    pread            6617        660
                   munmap              55         67
                   openat              20        514
                  madvise              14         36
                    lstat               8       3341
------------
