targets: 21853,21858,21859,21860,21861,21862,21863,21864,21865,21866,21867,21868,21869,21870,21871,21872,21873,21874,21875,21876,21877,21878,21879,21880,21881,21882,21883,21884,21885,21886,21887,21888,21889,21890,21891,21892,21893,21894,21895,21896,21897,21898,21899,21900,21901,21902,21903,21904
                  SYSCALL      TIME IN MS      COUNT
                    futex         1105286        909
          sync_file_range          363774        840
                fdatasync           99293        211
                    fsync           39999        123
                    write           14320       6970
                    pread            4856        615
                   openat            1754        480
                   munmap              21         18
                    lstat               7       3120
                 readlink               1        240
------------
