targets: 24163,24168,24169,24170,24171,24172,24173,24174,24175,24176,24177,24178,24179,24180
                  SYSCALL      TIME IN MS      COUNT
                    futex          405712        887
          sync_file_range          381368        901
                fdatasync           63938        233
                    write           19916       7481
                    fsync           16978        134
                    pread            5614        665
                   openat              79        522
                   munmap              64         94
                    lstat               7       3393
                 mprotect               5        227
------------
