targets: 26298,26303,26304,26305,26306,26307,26308,26309,26310,26311,26312,26313,26314,26315,26316,26317,26318,26319,26320,26321,26322,26323,26324,26325,26326,26327,26328,26329,26330,26331,26332,26333,26334,26335,26336,26337,26338,26339,26340,26341,26342,26343,26344,26345
                  SYSCALL      TIME IN MS      COUNT
                    futex          594779        944
          sync_file_range          377459        869
                fdatasync          107939        226
                    fsync           35748        129
                    write           19038       7229
                    pread            5847        645
                   openat             851        502
                   munmap              52         54
                 mprotect              17        289
                    fstat              17        631
------------
