targets: 2007,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
                  SYSCALL      TIME IN MS      COUNT
                    futex          740420        887
          sync_file_range          288433        708
                fdatasync          104528        212
                    write           13094       6784
                    fsync            4384        123
                    pread            2955        615
                   openat              38        478
                   munmap              11          9
                    lstat               6       3107
                 readlink               1        239
------------
