targets: 2207,2212,2213,2214,2215,2216,2217,2218,2219,2220,2221,2222,2223,2224,2225,2226,2227,2228,2229,2230,2231,2232,2233,2234,2235,2236,2237,2238,2239,2240,2241,2242,2243,2244,2245,2246
                  SYSCALL      TIME IN MS      COUNT
                    futex          489304        961
          sync_file_range          302077        755
                fdatasync           75490        228
                    write           11402       7203
                    fsync            4443        129
                    pread            1657        645
                   munmap              82         79
                   openat              28        510
                    lstat               6       3315
                  madvise               1         36
------------
