targets: 2591,2596,2597,2598,2599,2600,2601,2602,2603,2604,2605,2606,2607,2608,2609,2610,2611,2612,2613,2614,2615,2616,2617,2618,2619,2620,2621,2622,2623,2624,2625,2626,2627,2628,2629,2630,2631,2632,2633,2634,2635,2636,2637,2638
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          277918        752
                    futex          244383       1032
                fdatasync           97151        228
                    fsync           15308        130
                    write           14195       7213
                    pread            6486        650
                   munmap              39         29
                   openat              21        506
                    lstat               7       3289
                 readlink               1        253
------------
