targets: 5614,5619,5620,5621,5622,5623,5624,5625,5626,5627,5628,5629,5630,5631,5632,5633,5634,5635,5636,5637,5638,5639,5640,5641,5642,5643,5644,5645
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          332383        718
                fdatasync          178269        209
                    futex          133107        861
                    write           17724       6870
                    pread            4014        620
                    fsync            2263        124
                   openat            1547        482
                   munmap              13         11
                    lstat               6       3133
                 readlink               1        241
------------
