targets: 8060,8065,8066,8067,8068,8069,8070,8071,8072,8073,8074,8075,8076,8077,8078,8079,8080,8081,8082,8083,8084,8085,8086,8087,8088,8089,8090,8091,8092,8093,8094,8095,8096,8097,8098,8099,8100,8101,8102,8103
                  SYSCALL      TIME IN MS      COUNT
                    futex          399479        919
          sync_file_range          316931        752
                fdatasync          129027        224
                    fsync           17275        130
                    write           16599       7199
                    pread            6359        650
                   munmap              33         45
                    fcntl              12        629
                   openat              10        506
                    lstat               7       3289
------------
