targets: 8454,8459,8460,8461,8462,8463,8464,8465,8466,8467,8468,8469,8470,8471,8472,8473,8474,8475,8476,8477,8478,8479,8480,8481,8482,8483,8484,8485,8486,8487,8488,8489,8490,8491,8492,8493,8494,8495,8496,8497,8498,8499,8500,8501,8502,8503,8504,8505
                  SYSCALL      TIME IN MS      COUNT
                    futex         1030249        899
          sync_file_range          342558        705
                fdatasync          131876        209
                    fsync           13792        120
                    write           11605       6711
                    pread            1573        600
                   munmap              39         30
                   openat              21        472
                    lstat               6       3068
                 readlink               1        236
------------
