targets: 10669,10674,10675,10676,10677,10678,10679,10680,10681,10682,10683,10684,10685,10686,10687,10688,10689,10690
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          339732        696
                    futex          270057        890
                fdatasync          142837        210
                    write           26813       6650
                    fsync           20260        119
                    pread            5671        595
                   openat             533        466
                   munmap              29         23
                    lstat               6       3029
                  madvise               2         18
------------
