targets: 10842,10847,10848,10849,10850,10851,10852,10853,10854,10855,10856,10857,10858,10859,10860,10861,10862,10863,10864,10865
                  SYSCALL      TIME IN MS      COUNT
                    futex          572108        898
          sync_file_range          346595        727
                fdatasync          114084        218
                    write           19356       6967
                    fsync            4622        125
                    pread            3264        625
                   openat             834        486
                   munmap              15         14
                    lstat               7       3159
                 readlink               1        243
------------
