targets: 1776,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807
                  SYSCALL      TIME IN MS      COUNT
                    futex          832374        962
          sync_file_range          345707        756
                fdatasync           80562        227
                    write           17341       7215
                    fsync           11015        132
                    pread            2945        660
                   openat             600        516
                   munmap              57         80
                    lstat               6       3354
                 mprotect               1        296
------------
