targets: 2398,2403,2404,2405,2406,2407,2408,2409,2410,2411,2412,2413,2414,2415,2416,2417,2418,2419,2420,2421,2422,2423,2424,2425,2426,2427,2428,2429,2430,2431,2432,2433,2434,2435,2436,2437,2438,2439,2440,2441
                  SYSCALL      TIME IN MS      COUNT
                    futex          725482        900
          sync_file_range          286333        703
                fdatasync          142402        206
                    write           12734       6691
                    fsync            5422        120
                    pread            5207        600
                   openat              19        470
                    lstat               7       3055
                   munmap               7          7
                 mprotect               5        207
------------
