targets: 8255,8260,8261,8262,8263,8264,8265,8266,8267,8268,8269,8270,8271,8272,8273,8274,8275,8276,8277,8278,8279,8280,8281,8282,8283,8284,8285,8286,8287,8288,8289,8290,8291,8292,8293,8294,8295,8296,8297,8298,8299,8300,8301,8302
                  SYSCALL      TIME IN MS      COUNT
                    futex         1364699       1017
          sync_file_range          317404        711
                fdatasync          158379        224
                    write           15896       6797
                    fsync            7711        122
                    pread            3121        610
                   openat            2907        476
                   munmap              16         13
                    lstat               6       3094
                  madvise               2         44
------------
