targets: 11374,11379,11380,11381,11382,11383,11384,11385,11386,11387,11388,11389,11390,11391,11392,11393,11394,11395,11396,11397,11398,11399,11400,11401,11402,11403,11404,11405,11406,11407,11408,11409
                  SYSCALL      TIME IN MS      COUNT
                    futex          599075        864
          sync_file_range          267761        732
                fdatasync          150237        210
                    fsync           20576        124
                    write           12314       6963
                    pread            6596        620
                   openat             902        488
                   munmap              12         10
                    lstat               7       3172
                 mprotect               2        269
------------
