targets: 11561,11566,11567,11568,11569,11570,11571,11572,11573,11574,11575,11576,11577,11578,11579,11580,11581,11582,11583,11584,11585,11586,11587,11588,11589,11590,11591,11592,11593,11594,11595,11596,11597,11598,11599,11600
                  SYSCALL      TIME IN MS      COUNT
                    futex          753683        906
          sync_file_range          309655        742
                fdatasync           83807        221
                    fsync           11847        128
                    write           11685       7119
                   openat              63        498
                    pread              62        640
                   munmap              18         17
                    lstat               9       3237
                 readlink               1        249
------------
