targets: 25905,25906,25907,25908,25909,25910,25911,25912,25913,25914,25915,25916,25917,25918
                  SYSCALL      TIME IN MS      COUNT
                    futex         3788801        690
          sync_file_range          140490        764
                fdatasync           95103        256
                    write           55861       7044
                    fsync           17031        128
                    pread            2097        640
                   unlink            2061        297
                   openat             345        510
                ftruncate             331        128
                      brk              31          5
------------
