targets: 26121,26122,26123,26124,26125,26126,26127,26128,26129,26130,26131,26132,26133,26134,26135,26136
                  SYSCALL      TIME IN MS      COUNT
                    futex         9439682       1244
          sync_file_range          141795       1305
                    write          109410      12044
                fdatasync           82059        436
                    fsync           21728        218
                   unlink           12072        584
                    pread             997       1090
                ftruncate             800        218
                      brk              74         17
                fallocate              44         12
------------
