targets: 26669,26670,26671,26672,26673,26674,26675,26676,26677,26678,26679,26680,26681,26682,26683,26684,26685,26686,26687,26688
                  SYSCALL      TIME IN MS      COUNT
                    futex         4194273        475
          sync_file_range          119947        471
                fdatasync           53902        158
                    write           26329       4346
                    fsync           10659         79
                   unlink            2071        168
                ftruncate             195         79
                    pread              87        395
                   openat              37        314
                   munmap              21         26
------------
