targets: 26849,26850,26851,26852,26853,26854,26855,26856,26857,26858,26859,26860,26861,26862,26863,26864,26865,26866,26867,26868,26869,26870,26871,26872
                  SYSCALL      TIME IN MS      COUNT
                    futex        10945136       1118
          sync_file_range          139852        897
                fdatasync           81455        300
                    write           65700       8283
                    fsync           15077        150
                   unlink            7649        308
                ftruncate            2893        150
                    pread            2171        750
                   openat             134        598
                   munmap              59         42
------------
