targets: 27089,27090,27091,27092,27093,27094,27095,27096,27097,27098,27099,27100,27101,27102,27103,27104,27105,27106,27107,27108,27109,27110,27111,27112,27113,27114,27115,27116
                  SYSCALL      TIME IN MS      COUNT
                    futex        10641456       1092
          sync_file_range           97645        956
                    write           97130       8830
                fdatasync           52417        320
                    fsync           11672        160
                   unlink            3896        317
                ftruncate             414        160
                    pread             176        800
                   munmap              97         51
                   openat              82        638
------------
