targets: 27327,27328,27329,27330,27331,27332,27333,27334,27335,27336,27337,27338,27339,27340,27341,27342,27343,27344,27345,27346,27347,27348,27349,27350,27351,27352,27353,27354,27355,27356,27357,27358
                  SYSCALL      TIME IN MS      COUNT
                    futex         3686762        336
          sync_file_range          118591        356
                fdatasync           59843        120
                    fsync           19472         60
                    write           12937       3283
                   unlink            1197         89
                    pread             660        300
                ftruncate             642         60
                   openat              47        239
                  madvise              17          4
------------
