targets: 27517,27518,27519,27520,27521,27522,27523,27524,27525,27526,27527,27528,27529,27530,27531,27532,27533,27534,27535,27536,27537,27538,27539,27540,27541,27542,27543,27544,27545,27546,27547,27548,27549,27550,27551,27552
                  SYSCALL      TIME IN MS      COUNT
                    futex         4826209        354
          sync_file_range          105075        368
                fdatasync           46008        124
                    write           18595       3394
                    fsync            4038         62
                   unlink            1294        120
                ftruncate             164         62
                    pread              33        310
                   openat               9        246
                    lstat               5       1599
------------
