targets: 27736,27737,27738,27739,27740,27741,27742,27743,27744,27745,27746,27747,27748,27749,27750,27751,27752,27753,27754,27755,27756,27757,27758,27759,27760,27761,27762,27763,27764,27765,27766,27767,27768,27769,27770,27771,27772,27773,27774,27775
                  SYSCALL      TIME IN MS      COUNT
                    futex         7192214        574
          sync_file_range          120651        506
                fdatasync           47785        170
                    write           22057       4672
                    fsync            3967         85
                   unlink            1610        149
                fallocate             671          3
                ftruncate             171         85
                    pread             141        425
                   openat              33        339
------------
