targets: 27940,27941,27942,27943,27944,27945,27946,27947,27948,27949,27950,27951,27952,27953,27954,27955,27956,27957,27958,27959,27960,27961,27962,27963,27964,27965,27966,27967,27968,27969,27970,27971,27972,27973,27974,27975,27976,27977,27978,27979,27980,27981,27982,27983
                  SYSCALL      TIME IN MS      COUNT
                    futex         7176573        666
          sync_file_range          131492        591
                fdatasync           58983        198
                    write           32219       5443
                    fsync           10813         99
                   unlink            2491        222
                    pread            1050        495
                ftruncate              85         99
                fallocate              29          5
                      brk              28         17
------------
