targets: 28172,28173,28174,28175,28176,28177,28178,28179,28180,28181,28182,28183,28184,28185,28186,28187,28188,28189,28190,28191,28192,28193,28194,28195,28196,28197,28198,28199,28200,28201,28202,28203,28204,28205,28206,28207,28208,28209,28210,28211,28212,28213,28214,28215,28216,28217,28218,28219
                  SYSCALL      TIME IN MS      COUNT
                    futex         3750177        331
          sync_file_range          129551        356
                fdatasync           56895        118
                    write           18213       3277
                    fsync            7889         59
                   unlink            1553        101
                    pread             383        295
                   openat              14        236
                ftruncate               8         58
                 mprotect               7        539
------------
