targets: 9233,9238,9239,9240,9241,9242,9243,9244,9245,9246,9247,9248,9249,9250,9251,9252,9253,9254,9255,9256,9257,9258,9259,9260,9261,9262,9263,9264,9265,9266,9267,9268,9269,9270,9271,9272
                  SYSCALL      TIME IN MS      COUNT
                    futex          788246        910
          sync_file_range          456412        883
                fdatasync           79898        227
                    fsync           15313        130
                    write           13822       7349
                    pread             338        650
                   openat              42        506
                    lstat              30       3289
                   munmap              22         45
                 mprotect               1        289
------------
