targets: 9525,9530,9531,9532,9533,9534,9535,9536,9537,9538,9539,9540,9541,9542,9543,9544,9545,9546,9547,9548,9549,9550,9551,9552,9553,9554,9555,9556,9557,9558,9559,9560,9561,9562,9563,9564,9565,9566,9567,9568
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          431400        834
                    futex          289194        951
                fdatasync           71188        212
                    fsync           12596        122
                    write           11085       6919
                    pread            2785        610
                   openat              40        478
                   munmap              34         25
                 mprotect              12        235
                    lstat               6       3107
------------
