targets: 9818,9823,9824,9825,9826,9827,9828,9829,9830,9831,9832,9833,9834,9835,9836,9837,9838,9839,9840,9841,9842,9843,9844,9845,9846,9847,9848,9849,9850,9851,9852,9853,9854,9855,9856,9857,9858,9859,9860,9861,9862,9863,9864,9865
                  SYSCALL      TIME IN MS      COUNT
                    futex          672048        987
          sync_file_range          423540        847
                fdatasync           65672        219
                    write           18905       7034
                    fsync           14285        123
                    pread            1611        615
                   munmap              33         24
                   openat              10        484
                  madvise               8         45
                    lstat               7       3146
------------
