targets: 10138,10143,10144,10145,10146,10147,10148,10149,10150,10151,10152,10153,10154,10155,10156,10157,10158,10159,10160,10161,10162,10163,10164,10165,10166,10167,10168,10169,10170,10171,10172,10173,10174,10175,10176,10177,10178,10179,10180,10181,10182,10183,10184,10185,10186,10187,10188,10189
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          329220        863
                fdatasync           52604        227
                    write           21101       7181
                    fsync            6565        128
                    pread            1930        640
                   openat             780        498
                   munmap              30         37
                    lstat               6       3237
                 mprotect               1        285
                 readlink               1        249
------------
