targets: 13851,13856,13857,13858,13859,13860,13861,13862,13863,13864,13865,13866,13867,13868,13869,13870,13871,13872
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          438044        833
                    futex          343353        910
                fdatasync           59228        206
                    write           17359       6911
                    fsync            5123        122
                    pread            2824        610
                   openat              20        478
                   munmap              18         15
                    lstat               6       3107
                      brk               3          1
------------
