targets: 14681,14686,14687,14688,14689,14690,14691,14692,14693,14694,14695,14696,14697,14698,14699,14700,14701,14702,14703,14704,14705,14706,14707,14708,14709,14710,14711,14712
                  SYSCALL      TIME IN MS      COUNT
                    futex          666955        924
          sync_file_range          377379        859
                fdatasync           95206        218
                    fsync           22771        126
                    write           20694       7111
                    pread            5769        630
                   openat              37        494
                   munmap              19         14
                    lstat               6       3211
                 mprotect               1        256
------------
