targets: 14980,14985,14986,14987,14988,14989,14990,14991,14992,14993,14994,14995,14996,14997,14998,14999,15000,15001,15002,15003,15004,15005,15006,15007,15008,15009,15010,15011,15012,15013,15014,15015
                  SYSCALL      TIME IN MS      COUNT
                    futex          444116        964
          sync_file_range          418122        861
                fdatasync           56055        226
                    write           13538       7168
                    fsync            2098        127
                    pread             965        635
                   munmap              27         29
                   openat              12        494
                    lstat               8       3211
                 mprotect               1        258
------------
