targets: 20487,20492,20493,20494,20495,20496,20497,20498,20499,20500,20501,20502,20503,20504,20505,20506,20507,20508,20509,20510,20511,20512,20513,20514
                  SYSCALL      TIME IN MS      COUNT
                    futex          536089        934
          sync_file_range          379247        887
                fdatasync           64922        229
                    write           15614       7356
                    fsync            4482        132
                    pread             710        660
                      brk              51          9
                   openat              39        516
                   munmap              25         56
                    lstat               6       3354
------------
