targets: 13576,13581,13582,13583,13584,13585,13586,13587,13588,13589,13590,13591,13592,13593,13594,13595,13596,13597
                  SYSCALL      TIME IN MS      COUNT
                    futex          554144        914
          sync_file_range          342996        754
                fdatasync          119062        219
                    write           14343       7207
                    fsync            9788        130
                    pread            2580        650
                   openat            2109        506
                   munmap              34         46
                    lstat              33       3289
                 readlink               1        253
------------
