targets: 14140,14145,14146,14147,14148,14149,14150,14151,14152,14153,14154,14155,14156,14157,14158,14159,14160,14161,14162,14163,14164,14165,14166,14167
                  SYSCALL      TIME IN MS      COUNT
                    futex          994889        859
          sync_file_range          339102        700
                fdatasync          115125        207
                    write           10596       6669
                    fsync            4984        120
                    pread            1220        600
                      brk              13          5
                   openat              12        470
                    lstat               7       3055
                 readlink               1        235
------------
