targets: 14405,14410,14411,14412,14413,14414,14415,14416,14417,14418,14419,14420,14421,14422,14423,14424,14425,14426,14427,14428,14429,14430,14431,14432,14433,14434,14435,14436
                  SYSCALL      TIME IN MS      COUNT
                    futex          370886        891
          sync_file_range          276171        690
                fdatasync          126950        209
                    write           11547       6603
                    fsync            9075        119
                    pread            4632        595
                   openat              45        466
                   munmap              44         32
                    lstat               7       3029
                fallocate               2          3
------------
