targets: 14694,14699,14700,14701,14702,14703,14704,14705,14706,14707,14708,14709,14710,14711,14712,14713,14714,14715,14716,14717,14718,14719,14720,14721,14722,14723,14724,14725,14726,14727,14728,14729
                  SYSCALL      TIME IN MS      COUNT
                    futex          648654        878
          sync_file_range          378133        700
                fdatasync          115020        201
                    write           17294       6666
                    fsync            5337        119
                    pread             872        595
                   openat             734        466
                   munmap              10         11
                    lstat               7       3029
                 readlink               1        233
------------
