targets: 20492,20497,20498,20499,20500,20501,20502,20503,20504,20505,20506,20507,20508,20509,20510,20511,20512,20513,20514,20515
                  SYSCALL      TIME IN MS      COUNT
                    futex          496042        867
          sync_file_range          411896        765
                fdatasync          113486        230
                    write           19309       7337
                    pread            2935        660
                    fsync             920        132
                   munmap              75         65
                   openat              37        514
                    lstat               6       3341
                 mprotect               1        257
------------
