targets: 21900,21905,21906,21907,21908,21909,21910,21911,21912,21913,21914,21915,21916,21917,21918,21919,21920,21921,21922,21923,21924,21925,21926,21927,21928,21929,21930,21931,21932,21933,21934,21935,21936,21937,21938,21939,21940,21941,21942,21943
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          274905        739
                fdatasync          103055        215
                    futex           51515        919
                    write           20462       7072
                    fsync            7681        127
                    pread            3808        635
                   munmap              62         29
                   openat              48        494
                    lstat               6       3211
                 readlink               2        247
------------
