targets: 22490,22495,22496,22497,22498,22499,22500,22501,22502,22503,22504,22505,22506,22507,22508,22509,22510,22511,22512,22513,22514,22515,22516,22517,22518,22519,22520,22521,22522,22523,22524,22525,22526,22527,22528,22529,22530,22531,22532,22533,22534,22535,22536,22537,22538,22539,22540,22541
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          307610        746
                    futex          235352        866
                fdatasync          148506        223
                    fsync           20581        129
                    write           15611       7135
                    pread            8027        645
                   openat              43        502
                fallocate              23          3
                   munmap              17         25
                    lstat               8       3263
------------
