targets: 22806,22811,22812,22813,22814,22815,22816,22817,22818,22819,22820,22821,22822,22823,22824,22825,22826,22827,22828,22829,22830,22831,22832,22833,22834,22835,22836,22837,22838,22839,22840,22841,22842,22843,22844,22845,22846,22847,22848,22849,22850,22851,22852,22853,22854,22855,22856,22857,22858,22859,22860,22861,22862,22863,22864,22865
                  SYSCALL      TIME IN MS      COUNT
                    futex          937389       1032
          sync_file_range          335507        748
                fdatasync          123194        225
                    fsync           25295        129
                    write           15113       7165
                    pread            7061        645
                   munmap              39         38
                 mprotect              17        305
                   openat               8        502
                    lstat               7       3263
------------
