targets: 28811,28816,28817,28818,28819,28820,28821,28822,28823,28824,28825,28826,28827,28828,28829,28830,28831,28832,28833,28834,28835,28836,28837,28838,28839,28840,28841,28842,28843,28844,28845,28846,28847,28848,28849,28850,28851,28852,28853,28854,28855,28856,28857,28858
                  SYSCALL      TIME IN MS      COUNT
                    futex          939293        986
          sync_file_range          324381        751
                fdatasync          117595        229
                    write           21340       7209
                    fsync           11690        130
                    pread            4739        650
                   openat            1810        506
                   munmap              43         56
                    lstat               7       3289
                  madvise               1         45
------------
